id,osm_id,latitude,longitude
502,4380650410,18.7531601,73.3999839
503,4380650414,18.7515667,73.399552
504,4380650415,18.7508853,73.3995272
505,4380650419,18.7503785,73.396857
506,4380650423,18.751558,73.3972593
507,4380650424,18.7510897,73.3986507
508,4380650435,18.747035,73.3934399
509,4380650440,18.7467589,73.391328
510,4380652359,18.7493468,73.3911042
511,4380652362,18.7492046,73.3919613
512,4380652370,18.7469018,73.3930879
513,4380652371,18.7486368,73.3919121
514,4380652373,18.7481836,73.3919691
515,4380652374,18.7481838,73.3931012
516,4380685106,18.7517612,73.3893033
517,4380685108,18.7512598,73.3894982
518,4380685109,18.7561111,73.3878098
519,4380685114,18.7547191,73.3884211
520,4380685122,18.7565797,73.3877952
521,4380685124,18.756514,73.3887524
522,4380685128,18.753944,73.3914079
523,4380685132,18.7526968,73.388654
524,4380685133,18.7522904,73.3888793
525,4380685134,18.7528753,73.3892153
526,4380685135,18.7521584,73.3884984
527,4380685136,18.7524953,73.389383
528,4380685137,18.7526714,73.3897912
529,4380685138,18.7545934,73.3868826
530,4380685140,18.7536656,73.3878682
531,4380685141,18.7545859,73.3878479
532,4380685144,18.7568372,73.3876411
533,4380685150,18.7568943,73.3833128
534,4380685164,18.7531459,73.3851596
535,4380685168,18.7512047,73.3845145
536,4380685169,18.753832,73.3854777
537,4380685174,18.7556127,73.3849045
538,4380685187,18.7504517,73.382712
539,4380685188,18.7493974,73.385513
540,4380685208,18.7503513,73.3824646
541,4380685218,18.7493137,73.3817135
542,4380685221,18.7489456,73.382871
543,4381820885,18.7689767,73.3989466
544,4381820886,18.7686534,73.3989405
545,4381820887,18.7673524,73.3936437
546,4381826081,18.7678142,73.405588
547,4381826084,18.7672532,73.4080519
548,4381826085,18.7681597,73.4037251
549,4381826294,18.7650684,73.4058953
550,4381826301,18.7655412,73.4028416
551,4381826303,18.7658503,73.4037443
552,4381826305,18.7637773,73.4029569
553,4381826313,18.7635029,73.408262
554,4381826314,18.7638039,73.4081821
555,4381826317,18.7643947,73.4089136
556,4381830962,18.7577405,73.4026769
557,4381830963,18.7567137,73.4006481
558,4381830965,18.7556428,73.4023737
559,4381830970,18.7541729,73.4029637
560,4381830974,18.7550528,73.4039413
561,4381830975,18.7568228,73.4030965
562,4381830977,18.755893,73.4029848
563,4381830978,18.7558991,73.4011234
564,4381830981,18.7560096,73.4021712
565,4381833724,18.7641911,73.400316
566,4381833729,18.7619752,73.4012833
567,4381833730,18.7632068,73.4013792
568,4381833733,18.7650963,73.4017577
569,4381833734,18.7650802,73.4019402
570,4381833736,18.7644708,73.4021758
571,4381833737,18.7650415,73.4023818
572,4381833738,18.7640976,73.4020833
573,4381835591,18.7650091,73.3945873
574,4381835592,18.7673939,73.3941762
575,4381835594,18.765464,73.3939366
576,4381835597,18.7657639,73.3938945
